,comm_2
0,73102744
1,2644056245
2,4196856351
3,1873762824
4,306513842
5,1458246122
6,1178090455927525383
7,67175765
8,402176767
9,4618715801
10,4340256801
11,1290011392016351233
12,727296065926496265
13,4758703641
14,1352733531630432256
15,585205927
16,1083825689848135680
17,2612402816
18,107442800
19,2152001791
20,2780654617
21,220457693
22,1702761704
23,434981389
24,158007051
25,1038538969389182976
26,3231977118
27,186881299
28,2434585328
29,2662139235
30,2838925913
31,450679943
32,1183456464691707904
33,1091857643298275328
34,1110278617735589889
35,712039945695862790
36,3305130695
37,826799015828275202
38,574739820
39,1959396680
40,219979521
41,955257133
42,3399185962
43,2536115590
44,995474438031400960
45,364517397
46,1226291886517866496
47,1062720837759815682
48,4251243893
49,152770378
50,109567765
51,624282243
52,225285449
53,381507284
54,1065304987624980481
55,1190318573861904385
56,143773881
57,815315055478788096
58,198052013
59,2768856442
60,1155991028249313280
61,157589057
62,4496914043
63,2989815711
64,200540760
65,845028124404436992
66,366851605
67,2384479764
68,2224596615
69,940667750162292736
70,110325813
71,932588769370427393
72,2554662039
73,716373545929064448
74,870845893150474242
75,593228938
76,842164257110278145
77,193154088
78,279127170
79,3421061763
80,3121939925
81,146884525
82,159916597
83,288002651
84,1303716133804142595
85,935899801715138560
86,440967655
87,745019695074533376
88,910959980341350402
89,149402136
90,919677972398960645
91,373589831
92,1244608041649086464
93,167573633
94,945473203111067648
95,1327294614404014086
96,1279280934219546624
97,1163957624368521217
98,138515245
99,346308350
100,4405043657
101,179305723
102,2691725734
103,2533109552
104,892536648264798208
105,920025221037527041
106,1075809287987957760
107,968210394
108,2285364900
109,1214369257141817346
110,403141294
111,210093732
112,840943277885030400
113,143281052
114,3296441443
115,350446276
116,831560484310626304
117,770130524
118,757790751279357956
119,3462238936
120,924692650372075521
121,973989516649345024
122,2308816924
123,1024664072
124,837463774705614848
125,28944606
126,85651772
127,958409198
128,268382888
129,80168901
130,1160973218502586368
131,408514983
132,252572395
133,187621580
134,1283104701496594432
135,191963043
136,613783778
137,1345769429951508486
138,953615537107537921
139,1241628280538763266
140,917782406446354435
141,4857717383
142,839947911047819265
143,1230229846552465410
144,910956876686381058
145,886733270230216706
146,131208277
147,959033548379508736
148,2389817672
149,1146768235
150,153927370
151,719647313241731073
152,1124939622
153,159465248
154,148829823
155,165342631
156,3397285300
157,1208173573698920449
158,1170359442686259201
159,4289437241
160,149762941
161,831707150938431489
162,1363179612
163,1254587900290895872
164,192749554
165,1275313464718823424
166,1238899033093128196
167,897797321597046785
168,151925423
169,1268528063941349377
170,1049669440902782976
171,342771627
172,713923104989388800
173,1005621888
174,2968944550
175,139058257
176,139770179
177,1098564762521255936
178,197776311
179,830420891091759105
180,4160276589
181,212810052
182,3099190497
183,2936992948
184,1140816715930099712
185,888917884663197696
186,1260373554421432328
187,468166131
188,2954087331
189,131329344
190,273180114
191,1032043587247243265
192,179673885
193,319594285
194,2567927971
195,4078975647
196,3419991129
197,1304524314830663682
198,887860616815398913
199,2828897977
200,187344626
201,713013732490784769
202,3701265555
203,146525576
204,488643911
205,1210368056020656133
206,138387736
207,208614492
208,1116405885226688512
209,15899435
210,3082091529
211,167342139
212,941119495782961152
213,1241413268062773249
214,1182802623348559872
215,4504567787
216,1155521388
217,758466578400833536
218,1183918532
219,793171391398936580
220,1311711165861560322
221,946130594207096833
222,3222258119
223,329445927
224,1144460005795598336
225,1839615174
226,2925634140
227,1010895960275324933
228,2823327627
229,1147574669056368641
230,1344669664568356865
231,740238850900033540
232,35806176
233,1360492032
234,291456102
235,4921127601
236,3165480383
237,89875741
238,204633676
239,1144718982668267520
240,326283637
241,1323376297037410312
242,721283184017715200
243,1151290751344664582
244,1077990847
245,195855213
246,794568188
247,4160782817
248,1558640634
249,909534561784205312
250,4623480201
251,136431828
252,159219922
253,203404027
254,1130126618272423937
255,828738847324459010
256,1163278020905451522
257,47530811
258,163667925
259,1136615568889569281
260,1142971927159611393
261,1114694285948071937
262,2168824207
263,176771982
264,610206288
265,851431442
266,54035352
267,378996603
268,904946757636902914
269,456641366
270,1190413307183869954
271,554785512
272,202926669
273,202809746
274,4297558222
275,2841511521
276,2434582405
277,1568868187
278,4774564433
279,119351339
280,1245354207416287232
281,901581533798170630
282,1159784215858294784
283,925867447944704005
284,153473059
285,4269991413
286,1106600142608699392
287,2643977749
288,3017809004
289,1310638584576253952
290,415998847
291,135951915
292,414434452
293,1118208300024254469
294,131150529
295,401010601
296,253321564
297,1051395704
298,850852377926283265
299,1063276369222737922
300,2207463210
301,1083233024
302,524488066
303,205498485
304,1172610671965548545
305,370869182
306,1249752252740403200
307,255098969
308,4610046136
309,166132740
310,121289133
311,3289018349
312,208579886
313,60229392
314,77687063
315,1133054888936652802
316,163717107
317,1044603419904933889
318,167567360
319,110817702
320,3411303407
321,2645904638
322,141726959
323,368560574
324,352020016
325,2150025603
326,202820682
327,362188459
328,970451430661394433
329,1003404368157270017
330,889104329747070976
331,1145370192182206465
332,4195820001
333,1161785452665417729
334,1084900402112413706
335,1452929635
336,1861845169
337,89061595
338,1146448109070966784
339,1433986681
340,354977940
341,365621327
342,2434533608
343,822067825
344,481169226
345,149999804
346,141299097
347,3431965715
348,826094347
349,452334941
350,158093455
351,582254264
352,874692996071133184
353,867948514260770820
354,267511032
355,109597254
356,2848188779
357,1289718527805591552
358,747521749
359,384696297
360,274712019
361,3202815225
362,35988310
363,1135551819906736128
364,486571670
365,1350143154
366,2990206665
367,706345489
368,1303817619213082635
369,770756809334325248
370,18476225
371,881914439645233152
372,142742960
373,2250684742
374,2544243368
375,179652838
376,34034287
377,2253534297
378,2471162347
379,197273100
380,88293181
381,169953640
382,713028058207358976
383,452791971
384,761462461
385,1231588417961701377
386,227706604
387,3064247597
388,1043309917564751872
389,703666177067884545
390,4710499403
391,195578068
392,1152246688616275968
393,321036449
394,1321556287533047811
395,209262542
396,4301775809
397,1135688648
398,1184809631710879745
399,840377572038983680
400,186797051
401,4333487135
402,1285335745163657217
403,1080352563218841601
404,165136131
405,1328102698235949058
406,138929943
407,4405056695
408,53158294
409,1265722577139482624
410,1608573751
411,1192433699205341194
412,721154608576491520
413,268488742
414,551926583
415,180922573
416,717027589303484416
417,4238988196
418,1088760072375861248
419,922545797690019842
420,1323655650493321216
421,4627550895
422,607513888
423,1499810696
424,1362930477204709376
425,205509873
426,1544696155
427,893071697515094017
428,430016297
429,341038565
430,145815773
431,4727580359
432,16997143
433,1367479191600566272
434,206371045
435,836122659972853760
436,194421006
437,1170596343695499265
438,2746909648
439,950957247164755968
440,111327825
441,41113764
442,1185844996064317440
443,1267562127897878531
444,2704753244
445,3142505248
446,1723451155
447,751533871708200960
448,1221172637063352327
449,501003454
450,4071673887
451,18572763
452,1012107120295272449
453,2893571919
454,4194822088
455,1000194467259797504
456,931952762388189190
457,1240257692356222978
458,941509932813291520
459,187345223
460,992420860907663361
461,759550942425538560
462,2990714134
463,4561458511
464,748037632622460929
465,1625526020
466,1165967022804656129
467,1200475594410151936
468,3364886187
469,355873497
470,1168715250285371392
471,1672897488
472,1057052494902247429
473,913052088116154368
474,2900947893
475,716826695
476,177942841
477,885810670717079552
478,82088561
479,196837354
480,186685625
481,945117237123403782
482,4774811733
483,118964561
484,3247183779
485,1388399880
486,302323152
487,882028971986214912
488,780919134410436608
489,2651923058
490,362626565
491,991858487884951552
492,2436508817
493,4053916101
494,324208281
495,182828801
496,883750992990412801
497,1498952340
498,2951799183
499,1244107019562483712
500,147948208
501,1333886010170765313
502,1140422474628304898
503,4691081492
504,142913609
505,90436767
506,129254218
507,1377191564
508,718607638133661696
509,1834436976
510,453099594
511,4251145041
512,748328027654860804
513,209390884
514,209778655
515,279296220
516,2770664919
517,833345897689968643
518,1332415014720954371
519,207229366
520,754070320135495684
521,4194406954
522,4269501149
523,2367389166
524,546923952
525,2605369371
526,852358988926726144
527,1289576414757425153
528,1349569096321552387
529,1254110775213522944
530,358890847
531,1255609277496123405
532,156500230
533,218298154
534,1087182066180153346
535,396872214
536,332512121
537,113744392
538,2745895665
539,501208500
540,231154231
541,342735056
542,733313929292701696
543,1182124983776100352
544,1115075193175777280
545,1161720420078407682
546,242913913
547,1219025542894276608
548,1313295296710029312
549,182501138
550,121556705
551,727202831766265857
552,188557860
553,325917517
554,2165537297
555,1242459907
556,3062187262
557,67443745
558,462243481
559,350858729
560,1592273498
561,247909560
562,1312920256978055168
563,801948340481064960
564,329935132
565,1167998339880816641
566,836769048419520512
567,883737494180827138
568,830236656557031424
569,2588666262
570,107464561
571,171498377
572,955040458497028096
573,902516646576840704
574,770235201817604096
575,1351278834147069953
576,1277609374446387200
577,1353478568660135942
578,1553190722
579,713793057062318080
580,785612142128959488
581,496500008
582,106560067
583,795629812018802688
584,171011907
585,83714354
586,424533842
587,194378159
588,1028543186
589,1013058091
590,3658482501
591,3232364033
592,821885420912906240
593,2251900600
594,491871991
595,1038601466506895360
596,798236771666587650
597,615522242
598,333236636
599,2188580918
600,92089188
601,199974988
602,4890818927
603,4356563429
604,1242997429328281600
605,151921382
606,1198998467139555330
607,802922174
608,1191388467739201536
609,748685673448796161
610,34518850
611,372796630
612,1280732155258318854
613,1280130696741359616
614,1011789263644561409
615,867223140
616,167640685
617,7520762
618,4497008602
619,272220311
620,1267110052424540161
621,1146016868760727552
622,845504142374252544
623,542033300
624,1188752570581508096
625,876400785675997185
626,732695961076518913
627,232192072
628,1299872055765147648
629,4220068583
630,197192115
631,60164482
632,623334075
633,792457828032217089
634,1103466222698614790
635,924249522447974401
636,1036917825091325952
637,1227443894750777346
638,1184821503432548352
639,1317652267668021253
640,873314507296317440
641,1156795900880195585
642,781849538931879940
643,157437930
644,1321576572760064000
645,4343677427
646,1158110411570499584
647,174873651
648,1126575136021389314
649,1312170816
650,1186653933869174785
651,976928353033867266
652,230589789
653,523721389
654,2474524071
655,187565891
656,919387042374733826
657,1160922835218550784
658,908685822282665985
659,2205950088
660,1088871483923988481
661,222275297
662,145797267
663,967950389650784261
664,334274924
665,70561356
666,1552059115
667,251699551
668,361393440
669,923634670746693632
670,1424382415
671,103462194
672,1228849782187319298
673,3331983099
674,983110916513333248
675,133880481
676,77420630
677,40031341
678,419760228
679,1207722033309782023
680,801836395132231680
681,476408214
682,1131219789580517376
683,4636584016
684,838368975511764992
685,566598578
686,2864944011
687,1688378557
688,1613783755
689,570489014
690,1194023484462120960
691,1154419914985357312
692,195510782
693,1166771563447955456
694,441406061
695,318089931
696,283672178
697,1273666078984503297
698,1004832528
699,131144050
700,148801155
701,152039426
702,3698303476
703,144801356
704,2750505700
705,1225523470970343424
706,773640541993140224
707,4197389517
708,1278869172898889735
709,939652182147772417
710,433442371
711,4798780738
712,1185914159076171777
713,702463329902698496
714,2474986769
715,102560144
716,1118202107721658374
717,280248748
718,1293341604477116417
719,3874471936
720,4204720295
721,4475961447
722,210962297
723,886026356806627328
724,129488127
725,195846630
726,1302815975197343750
727,208551040
728,1249809101699330048
729,1648996830
730,190107683
731,849992682063712257
732,76691547
733,4801283422
734,150278011
735,636653571
736,1633455186
737,1329942905461616641
738,746684368756801536
739,324724290
740,2752006462
741,240949950
742,1209403852816048130
743,3076974052
744,215299681
745,4539314903
746,273120353
747,155779487
748,4475853089
749,1244702627964780544
750,2889545349
751,284311261
752,348804417
753,1186110021114957826
754,4759086448
755,992317206
756,57745162
757,906748051
758,603942871
759,826021610
760,3208681887
761,2228357684
762,219188457
763,987445100149116931
764,1165086106167197696
765,2446133384
766,450313646
767,819336076972228609
768,2306903142
769,3325589709
770,1120747825602625538
771,1245165603817742339
772,1209677690799874049
773,109092887
774,1490150263
775,897208090784878593
776,3372461026
777,205793505
778,1173841156385529856
779,2992428713
780,104570894
781,2600269050
782,1224698888961040384
783,2278282993
784,2704611734
785,1044374927103717376
786,896787733238210561
787,1548911521
788,192922124
789,1027991638449311744
790,1119056531750834176
791,1176927818594357250
792,1723003434
793,2269993018
794,337663986
795,1023682879061196810
796,1396230055
797,1104874060465483779
798,159315901
799,2214937440
800,173435022
801,4189414594
802,3360706637
803,828140486082838528
804,715758838188806144
805,1160981198417608704
806,1254748153
807,902672118667759616
808,1093465494
809,581467289
810,372272752
811,205827262
812,1166463145675776000
813,154609465
814,119532330
815,1482985987
816,750230203
817,187938395
818,1162047370676318208
819,2986522265
820,533724677
821,186598777
822,619102560
823,231182240
824,1276195075412942848
825,209253827
826,176225971
827,991843553323167749
828,1053448552616210433
829,119516105
830,208581183
831,191894244
832,60939248
833,3901806351
834,1228260645713457153
835,448339495
836,366675990
837,816727661829640203
838,179274820
839,180185008
840,441257855
841,1918342680
842,584253486
843,1281439802
844,730197283950624768
845,743373733
846,1182444567565611009
847,4487653995
848,1250938304347938816
849,164824570
850,1378456801
851,2416599031
852,187365820
853,128417619
854,4826288597
855,221960456
856,4776573621
857,954245868
858,1041892726134976513
859,992901882661269505
860,1309187736054755333
861,1171610973209341952
862,2734670913
863,2311005938
864,2230377516
865,1095821155754278913
866,932671889113321472
867,1102738130
868,214624711
869,1145577868321275904
870,1344241575711432704
871,1063039675877769216
872,1106759308979695617
873,210628566
874,887124757736456194
875,436823875
876,180986917
877,163859090
878,139128236
879,2468189521
880,3246424408
881,1268822861847855105
882,289368262
883,1614343844
884,3671079079
885,1173787483865321472
886,166868358
887,791272646621196288
888,1108842295539961856
889,896074050
890,1237157843440197632
891,156018076
892,1615250930
893,1155232769766842368
894,122384979
895,1096431145510727681
896,1380659480
897,311157527
898,4452544883
899,340297470
900,962629700
901,1209987175011495936
902,210582520
903,1246172518005780480
904,2430722358
905,1275230496436486144
906,1210013696
907,1353462367
908,764825023169306626
909,872619346220265475
910,125581292
911,856211266158944262
912,921737459393794049
913,853763138
914,3865745969
915,1142816555950137345
916,1012013675975184384
917,1267182959762853888
918,1150130367178956801
919,4438416753
920,1254060488956223488
921,219836248
922,1147165861050032130
923,960175861629636608
924,1228392644981805058
925,1141416996
926,1142767694
927,1400169488
928,1153097158314332160
929,625267646
930,851586612140048384
931,3399637036
932,225539130
933,394995982
934,1182807428234203136
935,208650573
936,1164706163943981058
937,1132114926963744769
938,437509546
939,871869180542320641
940,1189085849713025024
941,1079433728496156672
942,1001797813653704704
943,415801720
944,1272497220
945,850717135378710528
946,200317616
947,4252324761
948,2279333654
949,186218634
950,4499580976
951,170505141
952,3420937186
953,248774270
954,818720437
955,486083556
956,2424583066
957,186619530
958,4551773986
959,174432681
960,989913071765344257
961,189269331
962,174935432
963,1304078776129781767
964,1324856371460923397
965,2585406520
966,1201903153098240000
967,627772376
968,573859110
969,931108060889837568
970,399438135
971,1288255400425541633
972,837186873143488514
973,4814260083
974,1255148194628956160
975,4601569703
976,84456967
977,2785640831
978,1161536622283972608
979,196757633
980,977925657782050817
981,4588868777
982,149096668
983,1046546238391427078
984,1097967643078942723
985,1345546526068760576
986,4623665805
987,1013568744
988,352773186
989,2737212379
990,803496560
991,2637058777
992,711542738160914432
993,138517841
994,1725975044
995,1016855981349855232
996,1300138627742273536
997,174104151
998,1129910133260206081
999,180887700
1000,3323576145
1001,893536148865376256
1002,870334146
1003,1159189744347226113
1004,1308132749572796417
1005,1214218172594708482
1006,770043118435598337
1007,187055464
1008,234955754
1009,1865510774
1010,271670899
1011,1321223652
1012,219518707
1013,1296302241771597824
1014,1078444105087307776
1015,1354236170188763136
1016,1867893876
1017,217021979
1018,1163799311219605504
1019,4069676002
1020,753931777
1021,114888147
1022,774398382295187457
1023,39397930
1024,3263300051
1025,425084557
1026,942930698226339840
1027,837807578411319304
1028,122124578
1029,80405391
1030,464146386
1031,2891582482
1032,987784782
1033,1245538381544775685
1034,778084677743771648
1035,144335090
1036,858093531528912896
1037,2712625611
1038,1230119523069632512
1039,787239459771322368
1040,923856511
1041,2818127456
1042,2982159502
1043,703010998882586624
1044,893794274059448320
1045,911698673272262657
1046,1212718019849248768
1047,717429123644264450
1048,3028713425
1049,151228631
1050,309406560
1051,2176441578
1052,567857076
1053,1365607806
1054,4493774475
1055,2212559645
1056,1051277207014961152
1057,2162459267
1058,1115122813
1059,1072665633509249025
1060,4812945322
1061,183360370
1062,1225160783736209410
1063,1112450241536712704
1064,83978758
1065,836357806651490306
1066,930603304362676225
1067,2387764495
1068,1041039133026729985
1069,1256982563748536320
1070,752408832
1071,624194997
1072,923617919283683329
1073,349739110
1074,2561940666
1075,809807728394850304
1076,314886392
1077,4871564415
1078,1299707646501629952
1079,138900965
1080,85154393
1081,1131925891
1082,1366950570565763072
1083,848301539844399104
1084,1580608093
1085,4270874422
1086,1329076976989048845
1087,842060825418424326
1088,294894358
1089,1046474274
1090,179722483
1091,186939880
1092,511099914
1093,1276240099
1094,278043257
1095,4068087389
1096,1247989374819741699
1097,2615903030
1098,1398528416
1099,1075758796465717249
1100,1303798985593966592
1101,1332769275661197314
1102,4115223197
1103,974830959949500421
1104,1129908970745995265
1105,2250749316
1106,23488456
1107,184589949
1108,1156595840225619975
1109,3056934905
1110,1594248601
1111,1156304257139838980
1112,1061658842558357509
1113,263132977
1114,1215702502995263488
1115,1678724041
1116,442885540
1117,623549871
1118,1115825029
1119,1002016201713901569
1120,712711851344269312
1121,976232587378266118
1122,2643660209
1123,1219651859117477890
1124,1131243011734687744
1125,291681176
1126,346116994
1127,4869498521
1128,1616066359
1129,2417606766
1130,1361933204
1131,1155179119505760256
1132,180837232
1133,3408894718
1134,849493242
1135,1220663558003924992
1136,2560539311
1137,105188197
1138,2415174325
1139,1697661450
1140,184413750
1141,3939103277
1142,112444210
1143,42968250
1144,595444778
1145,151021998
1146,150678121
1147,620107148
1148,1537594296
1149,58542907
1150,177356424
1151,813868333
1152,1219426252353916929
1153,1255121363481825281
1154,1494328922
1155,2385126518
1156,222104895
1157,335949057
1158,611329737
1159,848357827349446656
1160,1201150889374998529
1161,426960818
1162,853657010654638081
1163,1022231850641752084
1164,877271954474094592
1165,1167294839618031616
1166,4130443509
1167,2985933628
1168,2904621773
1169,1110978001829806080
1170,2957071
1171,2593609794
1172,143214556
1173,1257366654385782785
1174,1614901866
1175,37065253
1176,164350783
1177,151488137
1178,48574953
1179,186583503
1180,147712187
1181,1106281298044305408
1182,3956457143
1183,1312619638635802624
1184,1331196707024015361
1185,1157003904078483457
1186,4776368601
1187,213149056
1188,1265595547320307713
1189,252337355
1190,1204920265634959360
1191,4784428354
1192,4333227687
1193,200634653
1194,1122597934523191296
1195,301450203
1196,3301995418
1197,1277806417
1198,3199502339
1199,1241907366657916928
1200,141741514
1201,1039242194790612993
1202,598671995
1203,865316176200687617
1204,179681992
1205,109266668
1206,1165674374
1207,740204964824424448
1208,493033896
1209,1100417155999428608
1210,3939548781
1211,1343226990
1212,1480445917
1213,181018485
1214,24539494
1215,546337051
1216,2708763009
1217,868198442924945409
1218,2742599465
1219,135978929
1220,3022568535
1221,193045025
1222,1209272155713748995
1223,4010899792
1224,1331797370032492545
1225,4848204664
1226,1175072544
1227,4331318849
1228,4190068455
1229,51786212
1230,132993370
1231,706786072441782272
1232,1341159840337580036
1233,178731620
1234,791419202515169281
1235,1625777142
1236,208577217
1237,121580226
1238,195162412
1239,2845521571
1240,1157660830755885056
1241,208670699
1242,4924373523
1243,176967089
1244,533228836
1245,952247125185720320
1246,760133241441513472
1247,72579487
1248,957291712552022016
1249,780989552437628934
1250,886351599387496452
1251,371932589
1252,1433581135
1253,1156572124779339776
1254,955503684733100032
1255,1264588496
1256,1368963921210703876
1257,2150920999
1258,1093609535313453058
1259,2728229073
1260,221215107
1261,1351945045801316357
1262,722605561704013825
1263,2654493287
1264,258340055
1265,781662917829783552
1266,193953470
1267,115134805
1268,124764898
1269,865691485
1270,4393416809
1271,185083071
1272,166645386
1273,133115327
1274,943896842
1275,1189955310594805761
1276,1857719958
1277,321744493
1278,2153868241
1279,309177991
1280,1279509266437734401
1281,1344668721642663938
1282,712757365754437633
1283,1323607697632186368
1284,298699627
1285,779641711119171584
1286,2450324088
1287,1148338899749613568
1288,322974571
1289,179743566
1290,297239689
1291,143685841
1292,1323694321984540672
1293,1428120042
1294,1027698769587003393
1295,804727238
1296,2228209194
1297,1275469734922932229
1298,1234894156780261376
1299,918995677623017472
1300,2653120485
1301,909514336384770048
1302,1307703640413679617
1303,4455387803
1304,243628971
1305,1611495738
1306,1099389532431101952
1307,96592659
1308,1144795344301187075
1309,1252125019473350657
1310,1107403070068150272
1311,149765826
1312,191005607
1313,1198964222245441536
1314,2349862945
1315,453668861
1316,2862597086
1317,286242883
1318,970111108173398017
1319,152740845
1320,841246237684842497
1321,203883293
1322,163291558
1323,862396653109694464
1324,1663502167
1325,709941414830993409
1326,339659551
1327,2355502147
1328,811642144733667330
1329,2198255803
1330,1122668568171163648
1331,1117161439305900032
1332,3057638821
1333,4868155870
1334,239567844
1335,3590352574
1336,1314289344551751683
1337,4498816109
1338,570003908
1339,2180160501
1340,4638739156
1341,253367014
1342,1094966021465751553
1343,965434327315206145
1344,1071125272739659776
1345,4269204976
1346,1925097456
