,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
2,1329815581302853632,0,1.0,5778.413205616476,0.002808734185523778,7.943073901465015e-06,0.0
4,811607948,0,5.0,42794.013711197666,0.0031723455687190606,1.9328327427843067e-05,0.4
5,405924380,0,72.0,8823.752016102297,0.0070307281796158135,0.0002430479229131617,0.04655712050078247
6,811960507829800960,0,7.0,0.0,0.00026037608831555917,3.0833248880410734e-05,0.0
7,3108851163,0,41.0,0.0,0.005029246791124637,0.00013527253670539253,0.05609756097560976
8,34811840,0,1.0,39045.43357856047,8.438903549429629e-05,6.760094294026082e-06,0.0
9,145493922,0,146.0,0.0,0.010654070358170621,0.0005054220125136574,0.02947567312234294
11,156054222,0,16.0,2109089.9774448527,0.004697883235247069,6.15759767079315e-05,0.18333333333333332
12,161859001,0,6.0,38996.000000000335,0.003051719145779669,2.279865681437125e-05,0.13333333333333333
13,927377684224708608,0,21.0,1484.3588633925744,0.004523350341275828,7.002457357505081e-05,0.11904761904761904
14,960475608873684992,0,38.0,3281.785519450311,0.004443579661602319,0.0001330457380544491,0.07112375533428165
15,290671142,0,15.0,291383.10073479445,0.004518420097862265,5.569011114923904e-05,0.06666666666666667
16,2585749633,0,30.0,0.0,0.004292725910589792,0.00010008668329949842,0.07816091954022988
17,1340629915176226825,0,8.0,4419.71335607067,0.0032800857807159176,3.0064242913646526e-05,0.25
20,4531354456,0,2.0,3852.2424739937264,0.0010465850529548521,1.042000974045667e-05,0.0
21,141508805,0,20.0,531003.2223543598,0.0009936927056619135,6.962211327399205e-05,0.005263157894736842
23,202984292,0,39.0,0.0,0.004958568416002492,0.00012521125485638704,0.058029689608636977
24,1324927863913656321,0,11.0,591033.9860835253,0.003160281247580405,3.8750921529450235e-05,0.12727272727272726
25,1207261773428068354,0,3.0,0.0,0.00012405191448427495,1.896425083115427e-05,0.0
26,1092059695383281666,0,101.0,145002.93876128862,0.007389538478289262,0.00033299918507044313,0.02198019801980198
28,2223272358,0,2.0,0.0,3.9025638329300564e-05,1.0218852681503182e-05,0.0
30,62979727,0,21.0,0.0,0.003962615920667384,6.640414953575816e-05,0.09523809523809523
31,464068963,0,1.0,0.0,0.002808734185523778,7.943073901465015e-06,0.0
32,252168075,0,8207.0,128911.71806593587,0.28031191779865394,0.04104198153238169,0.0005575333659546084
33,1043343131272462336,0,38.0,3556.470123631682,0.0059128239983081395,0.00012999659354896072,0.10241820768136557
34,4422267497,0,8.0,56373.771114789895,0.003337547206793116,2.7924017345436013e-05,0.2857142857142857
36,3102885442,0,11.0,50.421534909434186,0.0035516845257679854,3.830123977548848e-05,0.16363636363636364
37,35961319,0,70.0,1883.7183537456542,0.00685981073859452,0.0002248355802539372,0.07204968944099378
38,43814969,0,134.0,0.0,0.007628286521184992,0.0005158451280699445,0.013915385478621927
39,213751459,0,6.0,764501.7384670314,0.00046710938303004003,2.180391923107221e-05,0.06666666666666667
41,1121417863623917568,0,1.0,0.0,4.758338114346357e-05,7.634621745604362e-06,0.0
43,885711979343687680,0,1.0,0.0,4.180646162261118e-05,7.047958916039972e-06,0.0
44,1346497737748078594,0,17.0,508.0030008254277,0.003966178623991803,5.32625535391518e-05,0.11764705882352941
46,1111696053416443904,0,1.0,0.0,0.00015414092403876826,6.8555370540336465e-06,0.0
48,1337480038627864577,0,15.0,56005.21984621181,0.004566187513646987,5.2967250340427366e-05,0.17142857142857143
49,737702585277222912,0,3.0,36228.0084256611,0.0001818667057885771,1.748242958868798e-05,0.0
50,1272682283259101185,0,4.0,92511.05338857404,0.0003295375247864973,1.5858607222435057e-05,0.0
51,145423533,0,2.0,0.0,0.0038008858814449734,1.1956534626247546e-05,0.0
52,1308513159171407880,0,36.0,0.0,0.0045343048694351604,0.00012463251404136398,0.05238095238095238
53,2947569093,0,3.0,7652.638499480764,0.0030010177666652893,1.3385673911665746e-05,1.0
54,523977958,0,4.0,0.0,0.003822631941426383,2.044089989540786e-05,0.0
55,2407572261,0,14.0,58652.59527920873,0.00440494331757507,5.022894850290372e-05,0.17582417582417584
57,2249096742,0,14.0,0.0,0.004161934296792468,5.205338948461754e-05,0.07692307692307693
58,2284297460,0,12.0,0.0,0.0034051615121465676,4.3963553727145915e-05,0.16666666666666666
59,999002735520468992,0,47.0,0.0,0.005162862316608475,0.0001662672245567725,0.0545790934320074
60,1290051460810629122,0,4.0,0.0,0.00023114821963754413,1.846910604350193e-05,0.0
61,1090029548257857536,0,1.0,15798.439690960904,0.002808734185523778,7.943073901465015e-06,0.0
63,1239291711299428353,0,7.0,265885.40640221885,0.0032724424438009153,2.7726065174889383e-05,0.2857142857142857
64,484349869,0,142.0,47712.192714875484,0.00906538621597378,0.00048752824022572303,0.021975826590750175
66,510740590,0,384.0,18010.846128026304,0.0246864091065099,0.0012730068981238773,0.02099651871192341
67,172417422,0,5.0,129566.43506195942,0.004035119745866886,2.068213570733912e-05,0.5
